iter	Passed	Remaining
905	3470	360
906	3473	356
907	3481	352
908	3483	348
909	3486	344
910	3488	340
911	3492	336
912	3495	333
913	3497	329
914	3500	325
915	3502	321
916	3505	317
917	3507	313
918	3510	309
919	3513	305
920	3515	301
921	3517	297
922	3520	293
923	3523	289
924	3525	285
925	3528	281
926	3530	278
927	3533	274
928	3536	270
929	3538	266
930	3541	262
931	3543	258
932	3546	254
933	3549	250
934	3552	246
935	3554	243
936	3557	239
937	3560	235
938	3562	231
939	3565	227
940	3567	223
941	3570	219
942	3572	215
943	3575	212
944	3577	208
945	3581	204
946	3583	200
947	3586	196
948	3589	192
949	3592	189
950	3594	185
951	3597	181
952	3599	177
953	3602	173
954	3605	169
955	3607	166
956	3612	162
957	3615	158
958	3617	154
959	3620	150
960	3625	147
961	3629	143
962	3632	139
963	3635	135
964	3638	131
965	3640	128
966	3643	124
967	3646	120
968	3648	116
969	3651	112
970	3654	109
971	3656	105
972	3659	101
973	3662	97
974	3665	93
975	3667	90
976	3670	86
977	3673	82
978	3675	78
979	3679	75
980	3682	71
981	3685	67
982	3687	63
983	3690	60
984	3693	56
985	3695	52
986	3698	48
987	3701	44
988	3703	41
989	3706	37
990	3709	33
991	3711	29
992	3714	26
993	3717	22
994	3719	18
995	3722	14
996	3724	11
997	3727	7
998	3730	3
999	3732	0
